year,county_name,precinct_code,total_precinct_votes,total_registered_voters,voter_turnout,anomaly_score
2016,York,10,25545,4463,5.723728433788931,-0.06819983059080537
2004,Butler,10,30154,5809,5.190910655878809,-0.06819335392764303
2016,York,1050,29784,5608,5.310984308131241,-0.06742956486434137
2024,Monroe,220,30244,5678,5.3265234237407535,-0.06742956486434137
2004,Lancaster,500,22582,5100,4.427843137254902,-0.06686698176495143
2016,York,200,21540,5023,4.288273939876568,-0.06643053843961488
2020,Monroe,176,20918,5344,3.9142964071856285,-0.06613574151958224
2024,Erie,1440,22908,3440,6.659302325581395,-0.06594862651365696
2024,Westmoreland,2780,23903,3729,6.410029498525073,-0.06574843214117165
2012,York,10,24375,4043,6.028938906752412,-0.06574843214117165
2024,Lehigh,880,24985,4497,5.555926173004225,-0.06563659946453271
2024,Montgomery,3270,24897,4418,5.635355364418289,-0.06563659946453271
2020,Centre,610,13437,9469,1.4190516422008659,-0.06543680897371529
2024,York,410,26195,4842,5.409954564229658,-0.06501893301986184
2024,York,970,22736,3455,6.5806078147612155,-0.0649253376053962
2004,Cumberland,810,24174,3809,6.3465476503019165,-0.0642144237362835
2024,Pike,35,25317,4904,5.162520391517129,-0.06409637612111296
2016,Monroe,220,20996,4769,4.40260012581254,-0.06285280008607219
2024,York,950,24802,4681,5.298440504165777,-0.0628266590926514
2024,Franklin,650,23186,3636,6.376787678767877,-0.06275915272224786
2024,York,280,23040,3597,6.405337781484571,-0.06275915272224786
2024,Monroe,53,20380,5254,3.8789493719071184,-0.06255939605393757
2024,Northampton,1030,24377,4477,5.444940808577172,-0.06246644447147187
2020,Butler,5,24436,4463,5.475240869370379,-0.06246644447147187
2024,Pike,25,26481,4920,5.382317073170731,-0.06246644447147187
2012,Monroe,160,21143,4671,4.52643973453222,-0.06216183229514727
2020,York,155,23864,4692,5.086104006820119,-0.06205618810666014
2020,York,160,24682,4577,5.392615250163863,-0.061956982131408656
2024,Franklin,315,22157,3401,6.514848573948838,-0.061939310499011246
2008,York,610,19495,4418,4.412630149388864,-0.061758163531940635
2024,Montgomery,3310,24508,4169,5.878627968337731,-0.06138698285115207
2012,York,200,21865,4775,4.5790575916230365,-0.06114366410778793
2016,York,160,24086,4393,5.482813567038471,-0.060939090954220676
2020,Monroe,53,18172,5639,3.2225571909913104,-0.060740541208695764
2020,Pike,25,21269,4751,4.476741738581351,-0.060635096440120995
2016,Monroe,173,20621,5137,4.014210628771656,-0.060598772074751395
2024,Cumberland,830,22435,3358,6.68106015485408,-0.06033763443335127
2024,Lehigh,1245,24239,4710,5.146284501061571,-0.060021514080626504
2012,Lehigh,1240,19333,4538,4.260246804759806,-0.059799624828549724
2020,Pike,35,19769,4622,4.277152747728256,-0.059799624828549724
2012,York,1050,24087,4924,4.8917546709991875,-0.05951370538752654
2020,Monroe,370,19083,4934,3.8676530198621806,-0.05950740946099775
2012,Monroe,173,17795,5099,3.4898999803883113,-0.05929196621190558
2016,Monroe,53,16592,5133,3.2324176894603545,-0.05921668730614216
2024,York,235,22375,3503,6.387382243791036,-0.05919876132312396
2016,Butler,730,19957,4944,4.03661003236246,-0.05907520563752422
2016,Monroe,176,20064,4994,4.0176211453744495,-0.05907520563752422
2024,Pike,10,22429,4389,5.110275689223058,-0.059006240154635625
